http://www.w3.org/ns/prov#wasDerivedFrom,http://purl.org/dc/elements/1.1/format,CL,ORDER,FAMILY,S,N_DET,N_UND,N_TY,N_2T,SPEC,LO_NO,TRAN,DATE,OPEN
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,TRICHOPTERA,LIMNEPHILIDAE,V,4,0,0,0,1,2018005,LOAN,Thu Mar 01 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,DIPTERA,ASILIDAE,P,4,0,0,0,1,2018006,LOAN,Fri Mar 02 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,TRICHOPTERA,LIMNEPHILIDAE,P,1,0,1,0,1,2018007,LOAN,Fri Mar 09 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,HYMENOPTERA,APIDAE,P,53,0,0,0,8,2018008,LOAN,Tue Mar 27 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,COLLEMBOLA,HYPOGASTRURIDAE,S,13,0,0,13,1,2018009,LOAN,Tue Mar 27 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,HYMENOPTERA,MUTILLIDAE,P,-5,0,0,0,-2,2016004,RTRN,Tue Mar 27 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,TRICHOPTERA,LIMNEPHILIDAE,P,-1,0,-1,0,-1,2018007,RTRN,Wed Apr 18 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,EPHEMEROPTERA,SIPHLONURIDAE,V,-8,0,0,0,-1,2009009,RTRN,Wed Apr 18 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,HEMIPTERA,CICADIDAE,P,0,-96,0,0,0,2016012,RTRN,Wed Apr 18 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,LEPIDOPTERA,SATURNIIDAE,P,2,0,0,0,1,2018010,LOAN,Wed Apr 18 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,DIPTERA,CUTEREBRIDAE,P,1,3,1,0,1,2018011,LOAN,Wed May 16 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,DIPTERA,CUTEREBRIDAE,V,0,13,0,0,0,2018011,LOAN,Wed May 16 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,BLATTODEA,BLABERIDAE,P,1,0,0,0,0,2018012,LOAN,Wed Jul 11 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,COLEOPTERA,SCARABAEIDAE,P,6,0,0,0,2,2018012,LOAN,Wed Jul 11 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,BLATTODEA,BLABERIDAE,P,0,0,0,0,1,2018012,LOAN,Wed Jul 11 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,HYMENOPTERA,POMPILIDAE,P,2,1,0,0,1,2018012,LOAN,Wed Jul 11 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,ORTHOPTERA,ACRIDIDAE,P,0,1,0,0,0,2018012,LOAN,Wed Jul 11 00:00:00 CDT 2018,true
